ranking,marca,total_2025,total_2024,variacion_pct,participacion_pct
1,TOYOTA,11507,11189,2.8,19.1
2,KIA,7626,7457,2.3,12.7
3,HYUNDAI,6985,7048,-0.9,11.6
4,GEELY,3138,2345,33.8,5.2
5,SUZUKI,3094,2657,16.4,5.1
6,MITSUBISHI,2185,2233,-2.1,3.6
7,NISSAN,2166,2417,-10.4,3.6
8,JETOUR,1999,1264,58.1,3.3
9,CHANGAN,1854,1736,6.8,3.1
10,ISUZU,1747,1584,10.3,2.9
11,FORD,1315,1299,1.2,2.2
12,MAZDA,1275,1077,18.4,2.1
13,FORTHING,1229,727,69.1,2.0
14,GAC MOTOR,1127,1129,-0.2,1.9
15,HONDA,1075,1218,-11.7,1.8
16,KAIYI,1066,296,260.1,1.8
17,CHERY,973,509,91.2,1.6
18,DONG FENG,906,931,-2.7,1.5
19,CHEVROLET,780,426,83.1,1.3
20,BMW,562,532,5.6,0.9
21,LEXUS,508,536,-5.2,0.8
22,BYD,493,264,86.7,0.8
23,GREAT WALL,486,360,35.0,0.8
24,JAECOO,372,65,472.3,0.6
25,MG,356,456,-21.9,0.6
26,JIMC,353,212,66.5,0.6
27,HINO,344,365,-5.8,0.6
28,SUBARU,327,336,-2.7,0.5
29,VOLKSWAGEN,302,335,-9.9,0.5
30,SOUEAST,297,,,0.5
31,OMODA,278,196,41.8,0.5
32,MERCEDES BENZ,265,224,18.3,0.4
33,AUDI,260,218,19.3,0.4
34,FOTON,256,61,319.7,0.4
35,JAC,219,235,-6.8,0.4
36,MAXUS,210,159,32.1,0.3
37,DODGE,170,156,9.0,0.3
38,LAND ROVER,154,140,10.0,0.3
39,PORSCHE,146,122,19.7,0.2
40,VOLVO,145,318,-54.4,0.2
,OTRAS MARCAS,1683,1552,8.44,2.8
