Departamento  de la Instituci¢n;Provincias dela Rep£blica  de Panam†;Tipo de Ley;Fecha de Entrada de Queja;Mes de Entrada de Queja;Motivo de Queja;Agente Econ¢mico;Actividad;Marca de Producto;Producto;Velor de Apertura de Queja;Resultado de Queja;Efectivo Devuelto al Consumidor (B/.);Fecha de Cierre de Queja;Mes Cierre de Queja;A§o Cierre de Queja;A§o Recibido de Queja
Decisi¢n;Panam†;Ley 45 de 2007;45320;Ene 24;Incumplimiento de garant°a;REDPRECIO.COM;ElectrodomÇsticos/equipos electr¢nicos;HP;Computadora;213.99;Desistimiento/Devoluci¢n;213.99;45349;Feb 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45299;Ene 24;Incumplimiento de garant°a;BAHIA MOTORS;Agencia de autos;Honda;Auto;775;Acuerdo en audiencia/Varios;;45378;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45295;Ene 24;Falta de informaci¢n;TINO RAMIREZ Y DANIEL, S.A.;Videojuegos;;;840.38;Desistimiento;;45320;Ene 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45301;Ene 24;Incumplimiento de garant°a;GRUPO AUTO COMERCIAL, S.A.;Agencia de autos;GAP;Auto;18750;Desistimiento;;45462;Jun 24;2024;2024
Veracidad;Panam†;Ley 45 de 2007;45316;Ene 24;Veracidad de la publicidad;PRICESMART;Supermercados;;;559.99;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45296;Ene 24;Incumplimiento de servicio;SOLUCIONES YA;Remodelaci¢n;;Vivienda;3364;Ministerio P£blico;;45351;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45295;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;32;Acuerdo en audiencia/Varios;;45350;Feb 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45301;Ene 24;Incumplimiento de servicio;TALLER AUTOCOLOR, S.A.;Taller de reparaci¢n de autos;Toyota;Auto;649.51;Acuerdo en audiencia/Varios;;45418;May 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45302;Ene 24;Cobro indebido;SERVICIOS TURISTICOS PANAME•OS, S.A.;Alquiler de autos;Toyota;Auto;2609.93;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45296;Ene 24;Falta de informaci¢n;TU BIENESTAR COMPANY, S.A.;Funerarias;;;24;Desistimiento;;45349;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45299;Ene 24;Incumplimiento de garant°a;FOTO SONIDO;ElectrodomÇsticos/equipos electr¢nicos;Sankey;Lavadora / secadora;502.89;Pendiente constancia desistimiento;;45327;Feb 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45306;Ene 24;Incumplimiento de garant°a;MASTER MOTOR;Agencia de autos;Yema;Auto;21828;Desistimiento;;45569;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45302;Ene 24;Vicio oculto;ATIKA INVESTMENT GROUP INC.;Inmobiliarias;;;2935.97;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45308;Ene 24;Incumplimiento de garant°a;GRUPO SILABA;Agencia de autos;KIA;Auto;21395;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45306;Ene 24;Incumplimiento de garant°a;DREAM CARS;Venta de autos usados;Hyundai;Auto;9800;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45301;Ene 24;Vicio oculto;PROMOTORA PANAMµ ESTE, S.A.;Inmobiliarias;;Vivienda;602.48;Desistimiento;;45327;Feb 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45306;Ene 24;Falta de informaci¢n;ANCON RENT A CAR;Alquiler de autos;Hyundai;Auto;150;Desistimiento;;45383;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45301;Ene 24;Incumplimiento de garant°a;MW MOVIL, S.A.;Celulares;Iphone;Celular;390;Desistimiento;;45320;Ene 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45301;Ene 24;Incumplimiento de garant°a;FURNITURE CITY;Muebler°as;;Colch¢n;372.88;Resoluci¢n/Reparar;;45422;May 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45308;Ene 24;Incumplimiento de garant°a;RICARDO PEREZ, S.A.;Agencia de autos;Toyota;Auto;18125;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45301;Ene 24;Incumplimiento de servicio;D Y G COLCHONES, PERSIANAS Y MAS;Ventas de colchones;;;875;Corregidur°a/Casa de Justicia Comunitaria de Paz;;45357;Mar 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45308;Ene 24;Incumplimiento de garant°a;XTREME MOTOR TRADING INC.;Agencia de motos;Xmotors;Moto;2150;Desistimiento;;45400;Abri 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45316;Ene 24;Incumplimiento de garant°a;GRUPO SILABA;Agencia de autos;KIA;Pieza de Repuesto;950.06;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45301;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Pendiente constancia desistimiento;;45349;Feb 24;2024;2024
