Departamento  de la Institución;Provincias dela República  de Panamá;Tipo de Ley;Fecha de Entrada de Queja;Mes de Entrada de Queja;Motivo de Queja;Agente Económico;Actividad;Marca de Producto;Producto;Velor de Apertura de Queja;Resultado de Queja;Efectivo Devuelto al Consumidor (B/.);Fecha de Cierre de Queja;Mes Cierre de Queja;Año Cierre de Queja;Año Recibido de Queja
Decisión;Panamá;Ley 45 de 2007;22-ene-2025;Ene 25;Incumplimiento de contrato;AUTOTODO PTY;Repuestos para autos;No se Registro;No se Registro;220.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;02-ene-2025;Ene 25;Incumplimiento de garantía;LA CASA DE AUTO REPUESTOS;Taller de reparación de autos;Daihatsu;Automóvil;64.20;Desistimiento;;11-jun-2025;Jun 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;06-ene-2025;Ene 25;Incumplimiento de garantía;TITAN PANAMÁ;Almacén por departamentos;No se Registro;No se Registro;385.19;Acuerdo en audiencia/Varios;;05-feb-2025;Feb 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;02-ene-2025;Ene 25;Incumplimiento de garantía;GET A CAR;Venta de autos usados;Hyundai;Automóvil;3,000.00;Pendiente constancia desistimiento;;06-jun-2025;Jun 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;06-ene-2025;Ene 25;Resolución de contrato;TIGO PANAMÁ;Telefonia;No se Registro;No se Registro;32.26;Acuerdo en audiencia/Varios;;10-mar-2025;Mar 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;06-ene-2025;Ene 25;Incumplimiento de garantía;PANAMOTOR;Agencia de autos;Nissan;Automóvil;19,250.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;06-ene-2025;Ene 25;Incumplimiento de servicio;REFRIS LAVADORAS PTY;Repuestos y reparaciones (talleres varios no autos);No se Registro;No se Registro;320.00;Corregiduría/Casa de Justicia Comunitaria de Paz;;04-jun-2025;Jun 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;07-ene-2025;Ene 25;Vicio oculto;AUTOS PRITY 507;Venta de autos usados;KIA;Automóvil;8,800.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;06-ene-2025;Ene 25;Incumplimiento de garantía;LUX RESIDENCES CORP.;Inmobiliarias;No se Registro;No se Registro;465.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;06-ene-2025;Ene 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;Samsung;Refrigeradora;936.25;Acuerdo en audiencia/Varios;;19-mar-2025;Mar 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;07-ene-2025;Ene 25;Incumplimiento de garantía;PANAMA CAR RENTAL, S.A.;Venta de autos usados;Toyota;Automóvil;20,635.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;07-ene-2025;Ene 25;Incumplimiento de garantía;FCC SMART ALBROOK, S.A.;Electrodomésticos/equipos electrónicos;No se Registro;Scooter;133.75;Acuerdo/Devolución;133.75;17-jul-2025;Jul 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;08-ene-2025;Ene 25;Incumplimiento de garantía;GRUPO JARUM;Venta de autos usados;Chevrolet;Automóvil;4,500.00;En proceso;;;;;2025
